Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
persona,0.866571307182312,171,139,638,479,1743563620.6433105
persona,0.878315269947052,169,140,638,479,1743563621.0384364
persona,0.8427543044090271,171,142,638,479,1743563621.404924
persona,0.8447866439819336,171,140,638,479,1743563621.8301742
persona,0.8431277275085449,169,139,638,479,1743563622.2446985
persona,0.8355610966682434,168,137,638,479,1743563622.616384
persona,0.8640198707580566,162,145,640,479,1743563622.965075
persona,0.8635916709899902,161,146,638,479,1743563623.3163493
persona,0.6946726441383362,170,139,640,479,1743563623.6645904
persona,0.8161828517913818,167,136,638,479,1743563624.0191057
persona,0.8169564604759216,168,141,640,479,1743563624.3666384
persona,0.783561646938324,167,146,640,479,1743563624.7134368
persona,0.7679657340049744,169,143,640,479,1743563625.0625682
persona,0.8235254287719727,162,137,638,479,1743563625.4056778
persona,0.7910836935043335,159,137,638,479,1743563625.7497175
persona,0.8142940998077393,160,130,622,479,1743563626.098022
persona,0.8407860398292542,163,129,637,479,1743563626.4541843
persona,0.8371341228485107,163,130,638,479,1743563626.7972393
persona,0.8583928346633911,165,129,639,479,1743563627.1428745
persona,0.853808581829071,164,128,638,479,1743563627.4857206
persona,0.8345164656639099,161,126,639,479,1743563627.8323007
persona,0.8498349785804749,159,130,638,479,1743563628.2335784
persona,0.8483090996742249,156,132,638,479,1743563628.5897458
persona,0.8518641591072083,159,125,640,479,1743563628.9368844
persona,0.8678556680679321,163,127,639,479,1743563629.2863615
persona,0.8065231442451477,157,127,640,479,1743563629.6315658
persona,0.8473538160324097,167,129,638,479,1743563629.9785826
persona,0.8389376401901245,167,127,639,479,1743563630.3161318
persona,0.8195081353187561,165,128,638,479,1743563630.6605875
persona,0.8466421961784363,165,117,640,479,1743563631.0037794
persona,0.647612452507019,14,50,632,479,1743563631.3604553
persona,0.829021692276001,110,2,637,479,1743563631.6983402
persona,0.8734428286552429,45,0,638,480,1743563632.0341918
persona,0.7510921955108643,62,0,637,479,1743563632.3851616
persona,0.8225181102752686,49,1,637,478,1743563632.7264605
